,key_0,beds,accommodates
0,2016-01,8634.0,12558
1,2016-02,8783.0,12646
2,2016-04,8751.0,12607
3,2016-05,8995.0,12963
4,2016-06,9861.0,14344
5,2016-07,10271.0,14975
6,2016-08,10533.0,15352
7,2016-09,10674.0,15607
8,2016-10,10713.0,15755
9,2016-11,10965.0,16183
10,2016-12,11065.0,16344
11,2017-01,11247.0,16645
12,2017-02,11556.0,17133
13,2017-03,11604.0,17275
14,2017-04,11879.0,17695
15,2017-05,12122.0,18093
16,2017-06,10669.0,15877
17,2017-07,12319.0,18374
18,2017-08,13251.0,19807
19,2017-09,13411.0,20076
20,2017-10,13210.0,19857
21,2017-11,13344.0,20065
22,2017-12,13731.0,20636
23,2018-01,13828.0,20841
24,2018-02,14138.0,21358
25,2018-03,14044.0,21183
26,2018-04,15006.0,22483
27,2018-05,14816.0,22331
28,2018-06,15120.0,22812
29,2018-07,15344.0,23238
30,2018-08,15555.0,23514
31,2018-09,15737.0,23890
32,2018-10,15533.0,23706
33,2018-11,15276.0,23475
34,2018-12,15570.0,23943
35,2019-01,15792.0,24142
36,2019-02,15943.0,24411
37,2019-03,16085.0,24690
38,2019-04,16277.0,25061
39,2019-05,16340.0,25270
40,2019-06,16634.0,25697
41,2019-07,16722.0,25892
42,2019-08,16709.0,26171
43,2019-09,16821.0,26592
44,2019-10,16569.0,26351
45,2019-11,16494.0,26235
46,2019-12,16304.0,25988
47,2020-01,16315.0,26148
48,2020-02,16318.0,26395
49,2020-03,9178.0,15188
50,2020-04,22956.0,36721
51,2020-05,11764.0,19101
52,2020-06,20380.0,32832
53,2020-07,0.0,23199
54,2020-08,15645.0,25180
55,2020-09,15950.0,28021
56,2020-10,15683.0,25203
57,2020-11,15251.0,24547
58,2020-12,15074.0,24294
59,2021-01,15056.0,24295
60,2021-02,14811.0,23904
61,2021-03,14706.0,23803
62,2021-04,14589.0,23650
63,2021-05,14540.0,23629
64,2021-06,14487.0,23508
65,2021-07,14639.0,23926
66,2021-08,14577.0,23857
67,2021-09,14249.0,23362
68,2021-10,14109.0,23166
69,2021-11,13689.0,22507
